,0
0,Dutch
1,Canadian
2,Unknown
3,Greek
4,British
5,American
6,Estonian
7,Norwegian
8,Finnish
9,Irish
10,Swedish
11,German
12,Moroccan
13,Mozambican
14,Emirian
15,Saudi
16,Qatari
17,Turkish
18,French
19,Spanish
20,Indian
21,Brazilian
22,Italian
23,Malaysian
24,Danish
25,Polish
26,South African
27,Swiss
28,Belgian
29,Liechtensteiner
30,Austrian
31,Cypriot
32,Romanian
33,Tunisian
34,Hungarian
35,Argentine
36,Icelander
37,Kuwaiti
38,Lebanese
39,Cameroonian
40,Luxembourger
41,Israeli
42,Australian
43,Ivorian
44,Portuguese
45,Peruvian
46,Puerto Rican
47,Mexican
48,Colombian
49,Russian
50,Slovene
51,Ukrainian
52,New Zealander
53,Kazakhstani
54,Faroese
55,Belarusian
56,Maltese
57,Honduran
58,Filipino
59,Japanese
60,Senegalese
61,Chilean
62,Slovak
63,Tanzanian
64,Kenyan
65,Lithuanian
66,Ghanaian
67,Bulgarian
68,Croatian
69,Pakistani
70,Indonesian
71,Nigerian
72,Singaporean
73,Georgian
74,Angolan
75,Chinese
76,Czech
77,Bermudian
78,Gibraltarian
79,Nicaraguan
80,Algerian
81,Chinese (Taiwan)
82,French Guianese
83,Botswana
84,Mauritian
85,Iranian
86,Venezuelan
87,Azerbaijani
88,LiSwati
89,Gambian
90,Omani
91,Latvian
92,South Korean
93,Libyan
94,Armenian
95,Bosnian
96,Zimbabwean
97,Samoan
98,Dominican
99,Ugandan
100,Gabonese
101,Egyptian
102,Namibian
103,Monacan
104,Jordanian
105,Iraqi
106,Congolese (DR Congo)
107,Costa Rican
108,Bahraini
109,Mauritanian
110,Guinean (Guinea)
111,Malian
112,Ecuadorian
113,Bolivian
114,Sri Lankan
115,Uruguayan
116,Barbadian
117,Rwandan
118,Cuban
119,Cambodian
120,Bahamian
121,Jamaican
122,Ethiopian
123,Palestinian
124,Thai
125,Paraguayan
126,Zambian
127,Vietnamese
128,Mongolian
129,Uzbek
130,Burmese
131,Caymanian
132,Central African
133,Guatemalan
134,Burkinabe
135,Antiguan/Barbudan
136,Nigerien
137,Togolese
138,Panamanian
139,Guyanese
140,Belizean
141,Kittitian
142,Sahrawi
143,North Korean
144,Kyrgyzstani
145,Haitian
146,Bangladeshi
147,Tajik
148,Sierra Leonean
149,Greenlander
150,Saint Lucian
151,Saint Vincentian
152,Trinidadian/Tobagonian
153,Seychellois
154,Malawian
155,Bruneian
156,Nepalese
157,Yemeni
158,Syrian
159,Afghan
160,Serbian
161,Comoran
162,Papua New Guinean
163,Montenegrin
164,Congolese (Republic of Congo)
165,Beninese
166,Guamanian
167,Sao Tomean
168,Salvadoran
169,Malagasy
170,Guinean (Guinea-Bissau)
171,Albanian
172,Liberian
173,Kosovar
174,Sudanese
175,Guadeloupian
176,Chadian
177,Sammarinese
178,French Polynesian
179,Eritrean
180,Moldovan
181,Turkmen
182,Wallisian/Futunan
183,Djiboutian
184,Fijian
185,South Sudanese
186,Micronesian
187,Macedonian
188,Lao
189,Kiribati
190,British Virgin Islander
