Connected Company,Start Company Sector,Connected Company Sector,Start CompanyID*,Start Company Type,Start Company Role End Date,Connected Company Index,DirectorID*,Connected Company Duration,ED/NED/Non-Brd,Connected Company Role End Date,Connected Company Current/Historic,Start Company Current/Historic,Connected CompanyID*,Start Company,Connected Company Type,Start Company Duration,Start Company Role,Start Company Role Start Date,Connected Company Country,Connected Company Role Name,Start Company Country,Start ED/NED/Non-Brd,Start Company Index,Director Name,Connected Company Role Start Date,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
30% Club,Investment Companies,,9811997164,Quoted,2017-05-01 00:00:00,,92521711344,1,Other,Current,Current,Historic (2017),176043510645,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),Clubs,3,Managing Partner,2014-04-17 00:00:00,United Kingdom - England,Member,Jersey,Non-Brd,FTSE 250,Ben Robert Loomes,2020,Europe - Company Network - 1,Europe,Director,Company Network,1,
30% Club,Investment Companies,,9811997164,Quoted,2014-04-16 00:00:00,,92521711344,1,Other,Current,Current,Historic (2017),176043510645,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),Clubs,1,NED,2013-07-09 00:00:00,United Kingdom - England,Member,Jersey,NED,FTSE 250,Ben Robert Loomes,2020,Europe - Company Network - 1,Europe,Director,Company Network,1,
3i Asia Pacific Plc,Investment Companies,,9811997164,Quoted,2013-02-04 00:00:00,,8767846967,1,Non-Brd,2009-01-14 00:00:00,Historic (2009),Historic (2013),10980412606,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),Private,2,Regional Head,2011,Hong Kong SAR,MD/Co-Head,Jersey,Non-Brd,FTSE 250,Anil Satya Ahuja,2008-01-01 00:00:00,Europe - Company Network - 1,Europe,Director,Company Network,1,
3i Asia Pacific Plc,Investment Companies,,9811997164,Quoted,2013-02-04 00:00:00,,8767846967,1,Non-Brd,2006-04-01 00:00:00,Historic (2009),Historic (2013),10980412606,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),Private,2,Regional Head,2011,Hong Kong SAR,Various Positions,Jersey,Non-Brd,FTSE 250,Anil Satya Ahuja,2005-04-01 00:00:00,Europe - Company Network - 1,Europe,Director,Company Network,1,
3i Asia Pacific Plc,Investment Companies,,9811997164,Quoted,2011,,8767846967,1,Non-Brd,2006-04-01 00:00:00,Historic (2009),Historic (2013),10980412606,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),Private,4,Regional Managing Partner,2007,Hong Kong SAR,Various Positions,Jersey,Non-Brd,FTSE 250,Anil Satya Ahuja,2005-04-01 00:00:00,Europe - Company Network - 1,Europe,Director,Company Network,1,
"2006 Winter Olympics, Torino",Electricity,,5875328977,Quoted,2005-11-02 00:00:00,,209628807,1,Other,2006,Historic (2006),Historic (2005),2701718486,TERNA SPA,Sporting,1,Independent Director,2004-09-16 00:00:00,Italy,Committee Member,Italy,NED,,Paolo Cantarella,2005,Europe - Company Network - 10,Europe,Director,Company Network,10,
2i Rete Gas SpA (Enel Rete Gas SpA prior to 03/2014),Electricity,Oil & Gas,5875328977,Quoted,2020-05-18 00:00:00,,53526512921,< 1 Year,NED,2015-01-29 00:00:00,Historic (2015),Historic (2020),11970104656,TERNA SPA,Private,3,CEO/General Manager,2017-05-01 00:00:00,Italy,Director -SD,Italy,ED,,Luigi Ferraris,2014-11-12 00:00:00,Europe - Company Network - 10,Europe,Director,Company Network,10,
2i Rete Gas SpA (Enel Rete Gas SpA prior to 03/2014),Electricity,Oil & Gas,5875328977,Quoted,2017-05-01 00:00:00,,53526512921,< 1 Year,NED,2015-01-29 00:00:00,Historic (2015),Historic (2020),11970104656,TERNA SPA,Private,< 1 Year,CEO,2017-04-27 00:00:00,Italy,Director -SD,Italy,ED,,Luigi Ferraris,2014-11-12 00:00:00,Europe - Company Network - 10,Europe,Director,Company Network,10,
3 Italy SpA,Electricity,,5875328977,Quoted,,,176796310702,,Non-Brd,,Historic,Historic,25222928397,TERNA SPA,Private,,Statutory Auditor,,Italy,Statutory Auditor,Italy,Non-Brd,,Professor Lorenzo Pozza,,Europe - Company Network - 10,Europe,Director,Company Network,10,
3Elettronica Industriale SpA,Electricity,,5875328977,Quoted,,,176796310702,,Non-Brd,,Historic,Historic,25222918397,TERNA SPA,Private,,Statutory Auditor,,Italy,Statutory Auditor,Italy,Non-Brd,,Professor Lorenzo Pozza,,Europe - Company Network - 10,Europe,Director,Company Network,10,
