Annual Report Year,Total Wealth,CompanyID*,ED/SD,ISIN,Equity Linked,DirectorID*,Ticker,Director Role,Company Name,Total Compensation,Direct Compensation,Director Name,Sector,Index,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
Dec 1999,,14501792,ED,CH0012221716,,209898826,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Jörgen Centerman,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 1999,Europe,Director,Compensation,1999,
Dec 1999,,14501792,ED,CH0012221716,,215899292,"ABB, ABBN",Executive VP/CFO,ABB LTD,,0.0,Doctor Renato Fassbind,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 1999,Europe,Director,Compensation,1999,
Dec 1999,,14501792,ED,CH0012221716,,218009447,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Doctor Gorm Gundersen,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 1999,Europe,Director,Compensation,1999,
Dec 1999,,14501792,ED,CH0012221716,,224039897,"ABB, ABBN",Division President/CEO,ABB LTD,,0.0,Doctor Knut Göran Lindahl,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 1999,Europe,Director,Compensation,1999,
Dec 1999,,14501792,ED,CH0012221716,,2326310506,"ABB, ABBN",Division Executive VP,ABB LTD,,0.0,Kurt Jan Roxendal,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 1999,Europe,Director,Compensation,1999,
Dec 2000,,14501792,ED,CH0012221716,,179876100,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Doctor Markus Bayegan,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2000,Europe,Director,Compensation,2000,
Dec 2000,,14501792,ED,CH0012221716,,209898826,"ABB, ABBN",President/CEO,ABB LTD,,0.0,Jörgen Centerman,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2000,Europe,Director,Compensation,2000,
Dec 2000,,14501792,ED,CH0012221716,,215899292,"ABB, ABBN",Executive VP/CFO,ABB LTD,,0.0,Doctor Renato Fassbind,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2000,Europe,Director,Compensation,2000,
Dec 2000,,14501792,ED,CH0012221716,,218009447,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Doctor Gorm Gundersen,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2000,Europe,Director,Compensation,2000,
Dec 2000,,14501792,ED,CH0012221716,,224039897,"ABB, ABBN",Division President/CEO,ABB LTD,,0.0,Doctor Knut Göran Lindahl,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2000,Europe,Director,Compensation,2000,
