Qualification Date,Qualification,Institution Name,DirectorID*,OrganisationID*,InstitutionID*,Award/Achievement,OrganisationName,Company Type,Qualification Description,Achievement Date,Director Name,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
,,,195785212142,5781010653,,Appointed to Knight in the Order of Orange-Nassau,Awards,,,UnKnown,A (Hans) J Bakker,Unknown,Europe - Director Profile - Education & Achievements_Achievements,Europe,Director,Director Profile - Education & Achievements,,Achievements
,,,195785212142,16521579749,,Ribbon Thursday,Government of Amsterdam,,,UnKnown,A (Hans) J Bakker,Netherlands,Europe - Director Profile - Education & Achievements_Achievements,Europe,Director,Director Profile - Education & Achievements,,Achievements
,,,12454115392,5781010653,,Justice of the Peace,Awards,,,UnKnown,A Joel Walton,Unknown,Europe - Director Profile - Education & Achievements_Achievements,Europe,Director,Director Profile - Education & Achievements,,Achievements
,,,399794144,727462548,,Honorary Life Membership Award,Concordia University,,,2010,Aaron M Fish,Canada,Europe - Director Profile - Education & Achievements_Achievements,Europe,Director,Director Profile - Education & Achievements,,Achievements
,,,399794144,41439111734,,Lifetime of Outstanding Achievement Award,Associated Locksmiths of America,,,UnKnown,Aaron M Fish,United States,Europe - Director Profile - Education & Achievements_Achievements,Europe,Director,Director Profile - Education & Achievements,,Achievements
1981,Masters Degree,Universiteit Leiden (University of Leiden),206397712886,,4670010735,,,Universities,,,A (Ab) F van der Touw,Netherlands,Europe - Director Profile - Education & Achievements_Education,Europe,Director,Director Profile - Education & Achievements,,Education
UnKnown,Masters Degree,SIOO,25356448525,,63022612346,,,Private,,,A (Anja) D Vijselaar,Netherlands,Europe - Director Profile - Education & Achievements_Education,Europe,Director,Director Profile - Education & Achievements,,Education
1992,MA,Johns Hopkins University,51690811635,,733893914,,,Universities,,,A (Aris) G Bogdaneris,United States,Europe - Director Profile - Education & Achievements_Education,Europe,Director,Director Profile - Education & Achievements,,Education
1988,BA,University of South Florida (USF),51690811635,,751986434,,,Universities,,,A (Aris) G Bogdaneris,United States,Europe - Director Profile - Education & Achievements_Education,Europe,Director,Director Profile - Education & Achievements,,Education
1994,Bachelor's Degree,De Haagse Hogeschool (The Hague University),13726047014,,13951587266,,,Universities,,,A (Dennis) W de Vreede,Netherlands,Europe - Director Profile - Education & Achievements_Education,Europe,Director,Director Profile - Education & Achievements,,Education
,,,23726336790,26930509949,,Awarded the Mining Contribution Prize,Ministry of Mining and Heavy Industry of Mongolia,,,UnKnown,. Dalanguerban,Mongolia,NA - Director Profile - Education & Achievements_Achievements,NA,Director,Director Profile - Education & Achievements,,Achievements
,,,3791088892,4810011704,,Telly Award,Ernst & Young LLP,,,2009,A (Bud) Dale Mayo,United Kingdom - England,NA - Director Profile - Education & Achievements_Achievements,NA,Director,Director Profile - Education & Achievements,,Achievements
,,,3791088892,21308652958,,Listed as an Ultra-High Net Worth Individual,Wealth-X Pte Ltd,,,2021,A (Bud) Dale Mayo,United States,NA - Director Profile - Education & Achievements_Achievements,NA,Director,Director Profile - Education & Achievements,,Achievements
,,,3791088892,4810011704,,Entrepreneur of the Year Award,Ernst & Young LLP,,,2005-05-23 00:00:00,A (Bud) Dale Mayo,United Kingdom - England,NA - Director Profile - Education & Achievements_Achievements,NA,Director,Director Profile - Education & Achievements,,Achievements
,,,3791088892,6728917186,,Honoured,American Hall of Fame,,,2010-10-01 00:00:00,A (Bud) Dale Mayo,United States,NA - Director Profile - Education & Achievements_Achievements,NA,Director,Director Profile - Education & Achievements,,Achievements
UnKnown,Bachelor's Degree,Beijing Institute of Technology,16594329810,,62396411899,,,Universities,,,. Aminbuhe,China,NA - Director Profile - Education & Achievements_Education,NA,Director,Director Profile - Education & Achievements,,Education
1980,Studied,Shanghai International Studies University (SISU),23726336790,,12661615693,,,Universities,,,. Dalanguerban,China,NA - Director Profile - Education & Achievements_Education,NA,Director,Director Profile - Education & Achievements,,Education
UnKnown,MA (Hons),University of St Andrews,40187310791,,1454796546,,,Universities,,,A (Alistair) S Thomson,United Kingdom - Scotland,NA - Director Profile - Education & Achievements_Education,NA,Director,Director Profile - Education & Achievements,,Education
1977,BS,Babson College,29813210847,,723911319,,,Universities,,,A (Andy) Andrew Levison,United States,NA - Director Profile - Education & Achievements_Education,NA,Director,Director Profile - Education & Achievements,,Education
1965,Bachelor's Degree,University of Virginia,13732157014,,753166559,,,Universities,,,A (Bill) William Schenck III,United States,NA - Director Profile - Education & Achievements_Education,NA,Director,Director Profile - Education & Achievements,,Education
,,,203855812711,283718711118,,Women Obsession Accomplish Awards,PT Dharmapena Citra Media,,,2017,. (Hanny) Handayani,Indonesia,ROW - Director Profile - Education & Achievements_Achievements,ROW,Director,Director Profile - Education & Achievements,,Achievements
,,,196505812194,5781010653,,Best Participant I ADUM,Awards,,,1996,. (Jojo) Sugiharjo,Unknown,ROW - Director Profile - Education & Achievements_Achievements,ROW,Director,Director Profile - Education & Achievements,,Achievements
,,,196505812194,5781010653,,Best Participants 2 Spama,Awards,,,1999,. (Jojo) Sugiharjo,Unknown,ROW - Director Profile - Education & Achievements_Achievements,ROW,Director,Director Profile - Education & Achievements,,Achievements
,,,196505812194,5781010653,,Satya Lancana Karya Satya 10 Tahun,Awards,,,2003,. (Jojo) Sugiharjo,Unknown,ROW - Director Profile - Education & Achievements_Achievements,ROW,Director,Director Profile - Education & Achievements,,Achievements
,,,196505812194,5781010653,,The Best Participant of PIM Training,Awards,,,2010,. (Jojo) Sugiharjo,Unknown,ROW - Director Profile - Education & Achievements_Achievements,ROW,Director,Director Profile - Education & Achievements,,Achievements
