CompanyID*,Role Description,Sector Name,ED/NED,DirectorID*,Company Index,Company ISIN,Company Type,Company Name,Committee Name,Company Ticker,Role,Director Name,Committee Role,Start Date,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
424167164,,Real Estate,ED,13726047014,,NL0000289213,Quoted,WERELDHAVE NV,,WHA,CFO,A (Dennis) W de Vreede,,2018-04-20,Netherlands,Europe - Director Profile - Employment Current Board,Europe,Director,Director Profile - Employment Current Board,,
206138525,Responsible for General Affairs Property Development Building and Technology Infra Sustainability HR & Management Development,Construction & Building Materials,ED,6446592907,,NL0009269109,Quoted,HEIJMANS NV,,HEIJM,Chairman/CEO,A (Ton) G Hillen,,2016-12-01,Netherlands,Europe - Director Profile - Employment Current Board,Europe,Director,Director Profile - Employment Current Board,,
417546472,Qatar Holding LLC,Construction & Building Materials,NED,23196736140,"CAC 40 , CAC ALL-TRADABLE, Euro Stoxx 50, EURONEXT 100, SBF 120 , Stoxx Europe 50",FR0000125486,Quoted,VINCI SA (SGE Group prior to 04/2000),Strategic & Corporate Social Responsibility,DG,Independent Permanent Representative,Abdullah Bin Hamad Al Attiyah,Member,2018-12-06,France,Europe - Director Profile - Employment Current Board,Europe,Director,Director Profile - Employment Current Board,,
112031319,,Chemicals,NED,11222313228,,"CH0012142631, US1804721025",Quoted,CLARIANT AG,,CLN,Vice Chairman (Independent Board Member),Abdullah Bin Mohammad Al-Issa,,2020-06-29,Switzerland,Europe - Director Profile - Employment Current Board,Europe,Director,Director Profile - Employment Current Board,,
23160996100,,Transport,NED,396953650,BOVESPA,BRRAILACNOR9,Quoted,RUMO SA (Rumo Logística Operadora Multimodal SA prior to 03/2017),People,RAIL3,Independent Board Member,Abel Gregorei Halpern,Member,2019-04-24,Brazil,Europe - Director Profile - Employment Current Board,Europe,Director,Director Profile - Employment Current Board,,
342139949,,Business Services,NED,20344911628,S&P SMALL CAP 600,US76122Q1058,Quoted,RESOURCES CONNECTION INC,Compensation,RGP,Lead Independent Director,A (Bob) Robert Pisano,Member,2004-05-01,United States,NA - Director Profile - Employment Current Board,NA,Director,Director Profile - Employment Current Board,,
342139949,,Business Services,NED,20344911628,S&P SMALL CAP 600,US76122Q1058,Quoted,RESOURCES CONNECTION INC,Corporate Governance and Nominating,RGP,Lead Independent Director,A (Bob) Robert Pisano,Chairman,2004-05-01,United States,NA - Director Profile - Employment Current Board,NA,Director,Director Profile - Employment Current Board,,
1051291204,,Oil & Gas,NED,3762338623,S&P MID CAP 400,US1940141062,Quoted,COLFAX CORP,Audit,CFX,Independent Director,A (Clay) Clayton Perfall,Chairman / Financial Expert,2010-09-21,United States,NA - Director Profile - Employment Current Board,NA,Director,Director Profile - Employment Current Board,,
159543366,Co-Principal Executive Officer Also Member of Office of the Chairman,Oil & Gas,ED,2451205749,,US2937921078,Quoted,ENTERPRISE PRODUCTS PARTNERS LP,Capital Projects,EPD,Co-CEO,A (Jim) James Teague,Co-Chairman,2020-01-28,United States,NA - Director Profile - Employment Current Board,NA,Director,Director Profile - Employment Current Board,,
323408456,,Oil & Gas,NED,3628717288,S&P 500,US7237871071,Quoted,PIONEER NATURAL RESOURCES CO,Leadership Development & Compensation,PXD,Independent Director,A (Ray) R Alameddine,Member,2021-01-12,United States,NA - Director Profile - Employment Current Board,NA,Director,Director Profile - Employment Current Board,,
14115547444,,Real Estate,ED,7882818456,"ASX ALL ORDINARIES, S&P/ASX200, S&P/ASX300",AU000000INA9,Quoted,INGENIA COMMUNITIES GROUP (ING Real Estate Community Living Group prior to 06/2012),,INA,CEO/MD,A Simon Owen,,2012-06-04,Australia,ROW - Director Profile - Employment Current Board,ROW,Director,Director Profile - Employment Current Board,,
